location,date,lat,lon,rain_3day,rain_7day,wave_h,elevation,slope,dist_coast,flooded
Mombasa,2026-01-22,-3.9206381940932933,39.560811981915144,25.93,43.57,2.78,26.04,2.18,2.92,1
Mombasa,2025-12-08,-4.192530231734896,39.72053014510264,51.9,72.75,2.92,19.48,1.38,0.71,1
Mombasa,2026-02-01,-4.019835324760764,39.69950177591264,51.74,61.14,0.96,20.29,1.94,7.95,1
Mombasa,2025-12-09,-3.9149611498759063,39.788004073059994,19.01,34.88,1.6,15.54,5.3,0.48,1
Mombasa,2025-11-15,-4.1309091362937105,39.70796977306004,18.17,53.94,0.77,1.81,1.25,0.06,1
Mombasa,2025-12-01,-4.035453024229191,39.56748476602102,63.27,139.91,1.53,18.69,6.66,0.8,1
Mombasa,2025-12-13,-3.9272614875339804,39.71759949578704,70.0,98.84,2.67,29.51,6.44,0.12,1
Mombasa,2025-12-28,-4.160049166272225,39.613730104162165,21.31,54.25,1.98,31.95,3.63,13.7,0
Mombasa,2025-12-03,-4.0429762257978705,39.75798599838368,17.52,47.61,0.84,11.43,3.56,8.53,1
Mombasa,2026-01-31,-3.9748770422693895,39.55786552247765,14.22,30.1,2.92,12.93,4.05,0.58,0
Mombasa,2025-12-17,-3.9992960277348257,39.63103395594288,25.76,40.83,1.89,16.37,4.23,0.11,0
Mombasa,2026-02-19,-4.0596741420765055,39.719108971745,37.42,71.71,0.69,6.3,0.0,3.36,1
Mombasa,2026-02-17,-4.138545272910662,39.58890870003499,16.68,72.86,1.41,38.56,0.73,5.34,0
Mombasa,2026-02-04,-4.052770233272679,39.711568002313925,46.35,72.91,0.86,18.05,0.0,5.9,1
Mombasa,2026-02-25,-4.088284593184483,39.72430620131954,11.2,40.13,2.71,19.79,2.66,4.07,0
Mombasa,2025-11-27,-4.056779653544524,39.733444416240964,42.56,47.85,1.48,21.06,3.61,1.43,1
Mombasa,2025-11-13,-4.090232884265822,39.76883379803777,68.44,71.26,1.75,13.86,2.96,0.39,1
Mombasa,2025-12-11,-3.948624601707222,39.65329152901299,34.21,116.53,2.6,16.01,5.04,1.18,1
Mombasa,2026-01-08,-3.969405748044147,39.58562074337281,13.36,36.75,1.92,0.0,4.33,0.35,1
Mombasa,2025-11-25,-4.105801596836201,39.61507773259778,22.87,38.43,0.62,30.4,2.06,2.59,1
Mombasa,2026-01-26,-4.028212400206814,39.64742135036066,18.31,40.94,0.69,30.64,1.25,2.11,0
Mombasa,2026-01-09,-4.117185285500792,39.563644392544155,38.06,50.83,0.93,29.64,1.83,1.22,0
Mombasa,2025-11-18,-4.06414712023608,39.72713720743734,59.7,92.81,2.19,21.98,7.08,3.12,1
Mombasa,2025-11-15,-4.0941064902166815,39.56575266194353,46.2,53.76,2.04,31.02,3.37,2.25,0
Mombasa,2025-12-31,-4.002780161166073,39.56442718930711,33.96,75.01,1.39,26.01,2.12,0.37,1
Mombasa,2026-02-11,-4.08889467510359,39.783124884305444,17.74,64.12,1.28,6.43,4.01,1.0,0
Mombasa,2025-11-09,-4.06227210663257,39.751561469585205,18.48,36.65,0.7,22.37,0.26,2.38,1
Mombasa,2026-01-29,-3.9842027632472874,39.6134202617034,28.27,52.66,0.67,26.95,3.52,1.27,0
Mombasa,2026-01-01,-4.07610245126585,39.635427022951575,76.72,108.62,2.09,11.23,2.44,3.33,1
Mombasa,2026-02-20,-3.9280730192506983,39.756479924950305,74.26,106.37,2.49,0.0,3.37,6.88,1
Mombasa,2026-01-27,-4.145864514239196,39.70480886616458,104.38,140.18,1.76,23.32,3.59,7.71,1
Mombasa,2025-11-08,-3.977664338126021,39.61622940405242,39.5,87.41,2.22,16.83,0.0,1.4,1
Mombasa,2026-02-25,-4.073287786907058,39.66225479898499,43.22,73.0,1.62,1.42,1.47,1.06,1
Mombasa,2026-01-03,-4.072063928194518,39.76388989682922,12.82,32.74,0.64,14.99,3.58,1.66,0
Mombasa,2026-02-16,-4.009686039409848,39.55017283815801,17.18,44.14,0.51,7.79,2.71,2.2,1
Mombasa,2025-12-18,-4.043128139691497,39.79809846661362,7.09,17.91,2.5,13.73,0.0,8.17,0
Mombasa,2025-11-03,-4.075534206468167,39.69148338349637,16.28,18.04,2.67,29.82,2.8,2.06,0
Mombasa,2026-02-19,-4.199571935831172,39.59550501919757,26.22,56.3,2.96,25.85,3.6,3.13,1
Mombasa,2025-11-28,-4.172321296245975,39.75004820144012,23.53,44.51,1.27,18.3,4.27,7.18,1
Mombasa,2025-12-01,-3.9871816818824364,39.56904879700686,7.71,48.12,2.33,1.54,3.22,1.98,1
Mombasa,2026-02-15,-4.042696320970441,39.65250001984246,38.81,59.45,2.35,7.81,0.0,3.6,0
Mombasa,2026-02-20,-3.9911518609449095,39.69328306581704,10.33,19.97,2.16,0.0,0.0,1.19,1
Mombasa,2026-01-29,-3.913359503099122,39.61179858707049,42.96,95.32,2.55,1.69,0.0,1.25,1
Mombasa,2026-02-07,-3.995125843687375,39.771308204359386,25.8,50.21,2.89,22.92,5.2,0.95,1
Mombasa,2026-01-16,-4.184061392798113,39.72422350964413,16.86,41.25,1.0,11.94,2.88,0.34,1
Mombasa,2025-12-31,-4.107344194540861,39.590457034724174,20.63,36.46,2.32,14.17,1.01,0.55,0
Mombasa,2025-11-24,-4.022221593802988,39.58814987543219,41.37,63.73,1.53,19.7,1.78,6.63,1
Mombasa,2025-11-29,-4.129463877822761,39.56548329937838,17.96,58.75,2.57,4.19,1.89,0.69,1
Mombasa,2026-02-13,-3.910508700139162,39.69287462852809,36.7,65.81,2.78,6.6,3.74,0.55,1
Mombasa,2026-01-25,-3.9164855328621617,39.59681675253307,55.32,59.14,2.85,46.27,3.53,2.54,1
Mombasa,2025-12-15,-3.9454797357486933,39.685745669023895,67.81,103.13,2.39,20.79,1.63,1.92,0
Mombasa,2025-11-15,-4.058302801113479,39.7548681195308,17.68,47.02,2.8,14.0,4.95,1.03,1
Mombasa,2025-11-15,-3.947556985530481,39.76979625519209,55.08,70.5,0.8,20.6,2.21,0.84,0
Mombasa,2025-12-01,-4.160666807295626,39.579087584150884,25.6,133.72,0.73,27.58,0.98,0.37,1
Mombasa,2025-11-10,-4.107379902810649,39.633059356569454,5.01,20.75,1.54,8.49,5.5,0.16,0
Mombasa,2025-12-07,-4.061101081753675,39.65434392935225,10.46,63.36,2.3,13.5,0.0,0.11,0
Mombasa,2025-11-03,-3.97744583979496,39.645854369139194,7.76,61.53,2.52,27.52,0.0,0.68,0
Mombasa,2026-02-20,-4.054252431387331,39.654707239363546,10.36,36.67,2.59,13.29,5.91,1.43,0
Mombasa,2026-02-20,-4.158937164360765,39.664996870338356,19.07,28.31,0.83,21.73,2.69,1.35,1
Mombasa,2025-12-15,-4.096939041088692,39.73913757386866,5.89,13.0,2.21,10.67,1.86,2.37,1
Mombasa,2025-12-16,-4.102672149098267,39.626378947311416,48.22,87.96,1.89,11.24,0.26,4.22,1
Mombasa,2025-12-02,-4.1098743287045885,39.6358560819817,27.7,41.24,0.92,39.56,1.65,1.51,0
Mombasa,2025-11-12,-4.150349579860264,39.647561183758675,61.73,98.62,1.69,4.92,1.8,0.74,1
Mombasa,2026-02-02,-4.075529468228025,39.587804616297284,74.34,96.79,2.44,16.95,2.23,6.19,1
Mombasa,2025-11-26,-4.065563802749183,39.70759335828612,65.74,79.78,0.91,4.5,0.0,0.39,1
Mombasa,2026-02-18,-3.967529887255795,39.65006150575297,69.05,107.1,2.74,17.89,2.17,2.01,1
Mombasa,2025-12-23,-3.9610827897652356,39.77903814392744,68.28,84.36,0.91,27.43,0.0,0.44,1
Mombasa,2025-12-11,-4.043282961599516,39.75535396881945,20.98,23.19,0.7,38.93,2.53,1.72,0
Mombasa,2025-12-29,-4.061810911151017,39.607544975972424,26.02,41.73,1.41,16.93,2.25,8.08,0
Mombasa,2026-01-29,-3.966535919536831,39.6105784930478,22.43,36.53,2.45,0.0,1.26,0.28,1
Mombasa,2026-01-07,-3.9338133144441794,39.74556764787433,50.82,93.03,2.44,40.63,0.0,4.23,1
Mombasa,2025-11-24,-3.9975243690399638,39.689971738840214,37.33,60.42,2.66,16.37,3.21,0.33,1
Mombasa,2026-02-15,-3.959856285300461,39.5525526764244,27.21,43.27,0.95,19.55,1.28,2.89,1
Mombasa,2026-01-04,-3.9182665938803445,39.70747076316331,9.24,35.14,1.04,14.19,3.2,0.97,1
Mombasa,2025-11-16,-4.187803257168994,39.64872822808709,22.32,30.7,1.01,15.87,4.22,1.42,1
Mombasa,2026-01-26,-3.937298482538975,39.7463034413279,41.99,55.41,1.02,19.63,6.03,1.01,1
Mombasa,2025-11-01,-4.1170310782646595,39.73671175862086,46.76,113.07,1.56,1.9,0.91,5.06,1
Mombasa,2025-12-10,-4.057270650172727,39.780582002135475,7.49,32.85,2.99,29.75,0.0,1.4,1
Mombasa,2025-12-17,-3.960971712920429,39.72482149281609,11.25,68.2,2.19,7.14,2.4,1.82,0
Mombasa,2025-10-30,-3.984827330317431,39.778244646710775,31.78,64.39,1.35,7.78,1.97,1.54,1
Mombasa,2025-12-04,-4.155855728417492,39.62116370466527,30.06,33.78,2.9,2.09,0.52,1.17,1
Mombasa,2026-02-15,-4.0023755223137565,39.634678922480816,32.41,48.05,1.91,34.42,1.76,0.53,0
Mombasa,2026-01-09,-4.179224378997049,39.56480021132847,16.46,35.4,0.6,21.28,3.04,0.79,0
Mombasa,2025-11-26,-4.092878811494137,39.76673402735126,30.16,34.27,0.68,7.25,0.35,3.53,0
Mombasa,2025-11-09,-3.956151134950888,39.58855439697354,54.65,58.24,1.89,12.07,3.2,1.35,1
Mombasa,2026-01-23,-4.071688550091735,39.687829878039324,14.6,34.34,0.99,25.54,3.91,1.25,0
Mombasa,2025-12-16,-4.0200436687369665,39.67729884710832,19.97,50.7,1.17,21.06,1.69,2.29,1
Mombasa,2025-11-14,-3.9815516150558596,39.753483769736334,58.28,115.12,1.43,3.84,4.59,5.47,1
Mombasa,2026-02-20,-3.953631717508032,39.64699736660268,23.24,61.45,1.99,18.12,1.59,0.54,1
Mombasa,2025-11-17,-3.971845464005915,39.58566616803157,62.5,122.78,2.83,8.45,0.52,3.81,1
Mombasa,2026-02-05,-4.1978570174163,39.64577026149952,50.64,89.94,0.72,20.84,2.98,3.63,1
Mombasa,2026-01-15,-4.07392294989824,39.56201249865416,22.03,24.11,2.81,20.26,1.22,0.55,1
Mombasa,2025-11-02,-4.061059134588556,39.6253674532965,28.05,43.86,1.58,26.05,0.0,0.36,1
Mombasa,2025-12-08,-4.183350149066183,39.70750067805456,30.46,72.02,1.28,4.47,3.3,6.34,1
Mombasa,2026-02-02,-4.037567360371434,39.564285786017166,23.03,44.01,1.22,13.52,3.44,0.64,0
Mombasa,2026-01-11,-4.01766877456684,39.7974240566132,21.0,79.36,1.39,19.76,2.17,0.13,0
Mombasa,2025-11-12,-3.951464041501162,39.68404727223336,28.92,49.62,1.55,42.36,3.58,0.31,0
Mombasa,2025-11-23,-3.917457219542565,39.62501796329923,6.73,37.15,1.49,6.62,1.41,0.75,1
Mombasa,2025-12-24,-4.16155564379918,39.7584468108627,5.43,25.67,2.62,42.57,4.28,0.08,1
Mombasa,2025-11-05,-4.130870797676934,39.58436629531744,13.92,41.25,1.35,15.21,3.69,0.93,1
Mombasa,2025-12-03,-4.002252480878831,39.63049099299068,20.4,27.96,1.1,43.36,1.66,1.69,0
Mombasa,2026-01-11,-4.160257803354976,39.784287501992964,13.99,47.04,2.83,41.22,0.77,3.04,1
Mombasa,2025-11-02,-4.132776408916104,39.6099832705893,31.96,57.84,2.45,3.98,1.66,3.9,1
Mombasa,2026-01-27,-4.027541223723255,39.73322298179883,13.37,69.11,0.57,28.24,4.35,4.04,0
Mombasa,2025-12-31,-4.149142882930137,39.570232595627004,39.8,53.03,1.89,17.97,0.57,5.4,1
Mombasa,2026-02-03,-3.9653309546028663,39.68311865898331,5.98,30.72,2.07,21.52,0.4,1.09,0
Mombasa,2026-01-24,-3.9429073121664717,39.71452777654912,15.18,50.48,0.87,19.9,3.61,3.1,1
Mombasa,2025-12-24,-4.189897738649146,39.60243076133825,8.2,30.28,1.33,25.3,2.06,1.99,1
Mombasa,2025-11-01,-4.040206558516898,39.63190753038731,79.48,133.7,0.95,2.08,0.17,0.07,0
Mombasa,2025-11-24,-3.9609145927669305,39.687627269182734,5.43,39.15,0.71,20.11,1.41,0.43,1
Mombasa,2025-11-25,-3.9074580956528653,39.697496239628315,25.6,58.57,1.78,21.2,2.32,0.47,0
Mombasa,2026-01-12,-4.117722422041674,39.58855438903133,34.42,57.82,0.68,35.36,3.32,0.49,1
Mombasa,2026-01-02,-4.149269680990385,39.65269366311299,1.9,32.87,1.65,10.02,5.37,0.49,1
Mombasa,2025-11-22,-3.936989720945509,39.79993325354182,55.99,67.48,1.7,0.0,4.66,0.78,1
Mombasa,2025-11-04,-3.927245260871745,39.6306087357828,42.81,48.21,1.99,26.32,4.14,0.45,1
Mombasa,2026-01-22,-4.140740133159853,39.74633901512691,8.12,18.94,2.64,12.52,2.31,0.56,1
Mombasa,2026-02-11,-4.067541077189208,39.60040348083427,14.43,21.23,0.57,21.24,0.23,0.52,0
Mombasa,2026-02-06,-3.984230357492299,39.66529849086339,39.75,74.78,0.95,40.34,2.21,2.07,1
Mombasa,2026-01-23,-3.946396452370808,39.67954238852144,9.98,16.73,2.17,3.55,0.0,0.69,1
Mombasa,2025-11-19,-4.149517408389827,39.699004572481506,28.89,37.18,1.57,7.86,3.15,0.26,0
Mombasa,2025-11-12,-4.000509311128572,39.729413243707526,15.83,44.7,0.95,21.45,4.86,4.81,0
Mombasa,2026-01-24,-3.9576493622111792,39.748977594302005,21.63,25.59,0.97,1.94,3.67,1.02,1
Mombasa,2026-01-07,-4.035085763759782,39.725041428833585,9.3,43.35,0.97,19.49,2.65,7.64,1
Mombasa,2025-11-28,-4.150585002366296,39.75180013012748,22.8,29.64,2.8,8.38,0.89,2.2,1
Mombasa,2025-12-28,-4.189341358550891,39.77149042486685,28.27,48.18,1.45,8.17,6.06,0.47,1
Mombasa,2026-02-18,-4.115539854645452,39.63152982126766,26.68,103.17,1.94,25.66,4.59,0.28,0
Mombasa,2025-11-11,-3.9576387460639344,39.75682732622439,34.75,45.84,1.93,13.2,0.0,3.88,1
Mombasa,2026-01-08,-4.186570121746459,39.67999454640083,51.57,58.07,2.39,12.8,4.41,0.69,1
Mombasa,2026-02-16,-4.197535048488207,39.61485696655559,14.81,60.28,1.7,22.57,3.58,0.12,1
Mombasa,2025-12-08,-4.091515005686383,39.593268426100316,23.89,33.67,1.47,5.09,2.59,2.19,1
Mombasa,2026-02-24,-4.180913314290435,39.741112251645454,52.27,54.47,2.28,26.84,2.73,0.04,1
Mombasa,2025-11-27,-4.155154109002731,39.709158207129725,13.36,45.58,1.31,27.62,2.19,0.16,0
Mombasa,2025-11-28,-4.193042889570192,39.56768284222697,10.58,24.95,0.75,31.67,4.5,2.83,1
Mombasa,2025-11-03,-4.0425840489694105,39.696863431355474,25.29,75.49,2.99,4.95,1.88,0.67,1
Mombasa,2025-11-28,-3.990991229343176,39.56113665488874,19.45,63.2,2.83,19.05,2.89,2.83,1
Mombasa,2025-12-26,-4.071883952095882,39.6478140126333,6.89,22.94,1.64,18.56,3.0,1.77,1
Mombasa,2025-12-23,-4.159628862406594,39.69279030948468,34.14,55.07,2.31,35.1,0.24,0.13,1
Mombasa,2026-02-15,-4.100592836711279,39.71254866366382,28.23,43.89,2.54,33.2,7.09,5.22,0
Mombasa,2025-12-02,-4.022896243708099,39.58946318895213,45.15,54.58,1.45,21.61,2.22,0.79,1
Mombasa,2025-11-11,-3.9178015819810836,39.561209159803646,17.12,24.25,0.95,5.15,3.25,2.49,1
Mombasa,2025-12-24,-3.902232684248208,39.69400594106247,26.68,29.65,0.9,4.45,1.51,2.05,0
Mombasa,2025-12-29,-4.127519125003845,39.75469606401328,81.11,91.53,2.69,14.42,5.29,0.97,1
Mombasa,2025-10-31,-4.196826027918497,39.74915290775889,66.39,79.17,2.98,9.44,1.56,4.14,1
Mombasa,2026-01-19,-3.9508079022018587,39.639914972883794,49.8,76.54,1.62,23.54,3.3,0.13,0
Mombasa,2026-02-15,-3.922016118668983,39.69423777928139,54.23,95.73,2.95,32.0,1.87,0.72,1
Mombasa,2025-12-09,-4.062418956069609,39.729674469922266,29.02,40.32,1.68,7.15,0.56,5.09,1
Mombasa,2026-01-04,-3.968567296630895,39.768297097677966,13.75,55.97,1.63,6.67,0.0,0.44,1
Mombasa,2026-02-14,-3.9401402897746824,39.672906821606915,67.87,79.24,1.17,29.62,1.1,1.12,1
Mombasa,2026-01-29,-4.017115560499632,39.768875028676725,17.36,92.51,1.92,23.05,2.13,3.76,1
Mombasa,2026-01-05,-3.9382118450567436,39.62943221997389,81.19,85.15,1.48,12.98,0.72,0.59,1
Mombasa,2025-11-11,-4.192829092157301,39.60481303531138,24.13,40.96,2.67,19.43,1.38,0.71,0
Mombasa,2025-11-22,-4.1185214339221305,39.62353082035277,36.24,53.78,2.88,0.0,3.34,0.51,1
Mombasa,2025-12-12,-4.116834125191711,39.73244185566833,46.9,61.16,2.28,12.71,4.83,2.63,1
Mombasa,2026-01-10,-4.163810271508153,39.771285103328,21.01,27.75,1.59,15.89,0.0,1.47,1
Mombasa,2025-11-23,-3.9267859637135283,39.66779554725085,43.69,60.64,1.42,8.61,4.39,1.11,1
Mombasa,2025-11-07,-4.190868220000313,39.723979433343665,76.85,84.08,2.93,50.91,4.1,4.34,1
Mombasa,2026-02-22,-3.998231691143366,39.58470343859885,12.32,49.84,2.2,50.62,2.49,2.2,0
Mombasa,2026-02-03,-4.1785980938228375,39.676857321300794,35.77,92.19,2.07,6.53,4.18,0.27,1
Mombasa,2026-01-16,-4.091765851864434,39.65871028581824,16.32,32.28,0.5,8.05,1.58,6.97,1
Mombasa,2026-01-23,-4.07457013719673,39.65790106499292,43.65,63.6,2.96,48.59,4.89,2.21,1
Mombasa,2026-02-08,-4.14557871328279,39.59701116562066,38.53,65.74,1.34,33.88,1.48,3.5,0
Mombasa,2026-02-11,-4.043695769015347,39.705695261096636,18.08,36.9,1.76,56.09,0.0,1.66,0
Mombasa,2025-11-15,-4.039502471721625,39.71801807737837,26.08,31.13,0.91,20.64,0.0,7.5,1
Mombasa,2025-11-27,-4.1048868354191415,39.70908095374168,53.23,109.51,2.91,13.46,7.34,0.92,1
Mombasa,2026-02-22,-3.978873582134313,39.73568907977706,31.4,55.31,2.71,18.2,0.0,1.2,1
Mombasa,2025-12-19,-4.151939276814249,39.66455582660142,32.2,53.19,1.49,35.33,0.0,1.53,0
Mombasa,2025-11-14,-4.142247534312044,39.763149872624666,35.64,69.47,2.49,12.66,2.21,0.77,1
Mombasa,2026-01-18,-4.093646694586318,39.692803049890685,10.15,25.94,2.99,21.3,4.05,1.46,1
Mombasa,2025-12-24,-4.0864871599705745,39.77045250102937,18.85,52.51,2.68,31.69,3.1,5.17,1
Mombasa,2025-11-30,-4.138114243049804,39.65253868829682,19.3,59.28,0.76,5.67,2.96,2.79,0
Mombasa,2025-12-09,-3.9243872384573195,39.725034654813655,7.15,20.1,0.7,21.56,4.37,0.45,0
Mombasa,2026-01-22,-3.9515719291359157,39.59920125768539,26.96,50.69,1.36,0.0,2.57,3.01,1
Mombasa,2025-12-01,-4.1679369767230074,39.57076674957005,71.91,127.74,1.72,18.32,3.02,0.18,1
Mombasa,2026-02-13,-4.089154225301884,39.78287559788639,3.54,10.41,1.08,13.12,3.79,0.37,1
Mombasa,2025-11-17,-4.130198671310408,39.642709436222454,17.95,30.25,0.9,31.8,2.86,1.02,1
Mombasa,2026-02-01,-4.0646764191148375,39.56142462940071,8.74,23.08,1.08,34.04,0.14,2.02,0
Mombasa,2025-11-26,-4.117104844136762,39.70461337811946,14.12,44.37,2.89,25.79,3.53,0.33,0
Mombasa,2026-02-21,-4.049457932664473,39.78331530634178,18.88,47.2,2.52,26.66,0.0,1.77,0
Mombasa,2025-10-31,-3.923219054076613,39.74225224969522,42.67,60.24,0.89,16.75,4.56,1.73,0
Mombasa,2025-11-20,-4.08524665832105,39.796811778257585,18.76,37.24,1.57,0.0,2.95,5.63,1
Mombasa,2025-11-01,-4.00496150141141,39.783779231870795,18.93,26.88,2.61,20.63,5.5,0.81,1
Mombasa,2026-02-04,-4.021313666093888,39.66388336974601,38.53,76.54,1.18,22.94,2.74,5.86,1
Mombasa,2025-12-08,-3.9744139316573377,39.60847743681598,20.47,50.7,1.8,28.47,2.96,0.67,1
Mombasa,2025-12-19,-4.18150040094904,39.56630962092379,23.14,37.53,1.22,26.98,0.56,3.82,1
Mombasa,2025-11-27,-3.976552897895457,39.618030930549835,6.56,32.48,2.82,32.34,3.26,2.17,1
Mombasa,2025-12-07,-3.9161172218482716,39.70803803560042,29.12,80.94,1.78,25.66,3.32,2.04,1
Mombasa,2026-02-16,-4.0189321344913544,39.77772283149105,11.4,27.35,1.27,17.64,3.18,1.06,1
Mombasa,2026-01-22,-4.11372601736403,39.55042696951056,32.12,72.15,2.34,33.35,1.92,0.23,1
Mombasa,2025-12-12,-3.998289234471214,39.754371117390555,21.13,36.35,1.09,5.64,1.95,1.21,1
Mombasa,2025-11-01,-3.9863853639655815,39.741116198342574,4.08,29.84,1.14,2.4,0.71,1.24,0
Mombasa,2025-11-10,-4.003064914038419,39.722745636313654,13.72,19.38,2.81,7.94,1.47,1.83,0
Mombasa,2025-12-12,-4.1559209052919375,39.58196929080705,59.96,101.65,2.73,16.29,7.91,0.13,1
Mombasa,2025-12-01,-3.90795732951909,39.56331389316527,66.29,70.75,0.94,16.02,3.58,1.33,1
Mombasa,2026-01-15,-3.913384964453736,39.734188554639076,22.17,80.84,0.75,18.29,0.16,4.36,1
Mombasa,2026-01-08,-4.0726123401613075,39.71035231038373,71.9,79.83,2.7,17.87,0.36,3.95,1
Mombasa,2025-11-17,-4.0219088011773385,39.64247451848712,10.7,42.85,1.58,15.6,3.45,1.18,1
Mombasa,2025-12-27,-4.188111427839932,39.63637701669078,8.55,54.28,2.43,3.76,4.73,1.49,1
Mombasa,2026-01-30,-3.9034096996314185,39.5581608411297,34.76,51.23,1.37,14.09,3.25,4.36,1
Mombasa,2025-11-04,-3.95437650221301,39.798358567060475,37.99,55.55,0.65,2.19,4.14,11.59,1
Mombasa,2025-12-09,-4.009049297271099,39.75916053802085,24.86,39.42,0.81,20.63,2.29,0.56,0
Mombasa,2025-11-30,-3.971674576733494,39.79354769073447,18.96,35.56,1.66,0.0,0.0,1.63,1
Mombasa,2026-02-04,-4.143591021425224,39.754509368577345,16.29,21.69,2.36,17.94,0.29,1.69,1
Mombasa,2025-12-25,-4.107703622972145,39.66471322818621,5.79,9.95,2.78,14.36,1.12,1.61,1
Mombasa,2026-01-25,-4.126081906714284,39.76129119911269,44.84,85.19,1.28,35.88,0.42,0.62,1
Mombasa,2026-01-23,-4.021185263962455,39.59958937395434,49.91,103.35,1.55,12.96,5.92,2.93,1
Mombasa,2026-02-06,-4.172428544350868,39.718118664552335,19.17,32.88,2.28,11.91,1.5,1.79,0
Mombasa,2025-11-30,-3.9313170044355172,39.60930483628978,8.11,26.84,2.23,28.99,5.79,1.59,1
Mombasa,2026-01-28,-4.061317217360782,39.64811936658909,25.84,87.08,2.45,20.48,2.06,0.25,1
Mombasa,2026-01-26,-4.066556290513686,39.767920024713554,4.97,21.07,2.37,34.46,4.64,3.08,1
Mombasa,2025-10-31,-4.1685866089280275,39.65623777206552,8.29,20.05,1.82,24.17,2.56,0.94,1
Mombasa,2025-12-25,-3.994528788881966,39.773429011000445,59.08,104.47,2.39,24.48,3.86,2.04,1
Mombasa,2026-01-16,-3.9549318016972657,39.69988984417196,39.34,78.79,1.62,23.32,1.39,1.13,1
Mombasa,2026-01-11,-4.011134948561301,39.62343653530656,19.27,105.44,2.45,6.31,2.81,0.03,1
Mombasa,2026-02-14,-4.12739321776076,39.61508924120155,11.47,35.85,1.65,13.28,3.07,3.94,0
Mombasa,2025-11-27,-3.964373783524347,39.55084351463667,21.75,52.7,0.78,17.08,3.66,1.57,1
Mombasa,2026-01-17,-4.15629616998497,39.693024510482985,20.86,35.04,2.52,9.33,3.88,0.29,1
Mombasa,2026-01-11,-3.951817101306121,39.75964239197166,19.49,31.2,0.9,10.02,3.38,1.21,1
Mombasa,2025-12-28,-4.0257883888164345,39.60617961808426,7.9,40.75,1.86,0.0,5.3,0.44,0
Mombasa,2026-01-25,-4.113188156526469,39.66981077279306,21.49,58.64,2.33,27.0,4.48,4.7,0
Mombasa,2025-12-08,-4.046026980046879,39.79597401786481,19.01,34.02,2.08,24.08,1.77,1.27,1
Mombasa,2026-01-17,-4.011344579080606,39.64834683822965,19.91,47.87,1.9,11.18,0.0,0.43,0
Mombasa,2025-12-24,-4.122423150422207,39.784611708102986,15.02,37.82,2.94,24.05,2.25,3.59,1
Mombasa,2025-12-10,-3.9459280318620076,39.75664767871079,2.56,24.77,1.16,9.63,0.52,2.18,0
Mombasa,2025-11-25,-4.073623887420218,39.673653145268645,39.83,65.41,1.75,7.88,0.75,0.56,1
Mombasa,2026-01-04,-3.9322987628234305,39.70884104082225,31.83,34.72,2.36,24.55,1.82,1.93,1
Mombasa,2026-02-12,-3.9493594316557394,39.56639577672781,11.0,43.84,2.95,30.95,1.89,0.43,0
Mombasa,2025-11-21,-4.170195745752111,39.67910815150612,95.79,155.65,1.09,31.39,1.75,2.99,1
Mombasa,2026-02-11,-4.006123767165362,39.73998339481432,5.38,71.06,0.58,20.65,6.42,1.13,1
Mombasa,2025-11-08,-4.106851630051278,39.60759164793196,8.41,37.21,2.52,19.0,1.74,3.32,1
